date,symbol,open,high,low,close,volume,amount,outstanding_share,turnover,K,D,J,BBI,BBI_DIF,DIF,DEA,MACD,short_term_fund,long_term_fund,Short_LS,Short_Trend,Brick_High,Brick_Low,L2,L1,M,H1,H2,investment_income,market_cap,float_market_cap,pe_ttm,pe_static,pb,peg,pcf,ps,AMV
2020-01-02,1,13.08,13.32,13.0,13.26,153023187.0,2571196482.0,19405752680.0,0.0078854548712098,29.68749999999998,29.68749999999998,29.687499999999982,13.39,0.0,-0.3483082608807457,-0.5215272777167397,0.1732190168359939,82.00000000000003,19.9203187250996,10.61,12.83,0.0,0.0,4.095815339592015,5.1391869226798175,6.18255850576762,7.2259300888554225,8.269301671943225,1.133413856091065,327377840000.26,327375047711.6,11.69916878,11.61120199,1.1990325,4.35310351,8.51061533,2.46130246,1
2020-01-03,1,13.31,13.6,13.29,13.5,111619481.0,1914495475.0,19405752680.0,0.0057518758916801,29.68749999999998,29.68749999999998,29.687499999999982,13.39,0.0,-0.3483082608807457,-0.5215272777167397,0.1732190168359939,82.00000000000003,19.9203187250996,10.61,12.83,0.0,0.0,4.094704217158566,5.137792751945537,6.180881286732507,7.2239698215194785,8.26705835630645,1.1331063809103088,333393674641.64,333390831042.4,11.91415054,11.82456729,1.2210657,4.43309534,8.66700483,2.5065309,1
2020-01-06,1,13.37,13.62,13.29,13.41,86208350.0,1477930193.0,19405752680.0,0.0044424120734491,29.68749999999998,29.68749999999998,29.687499999999982,13.39,0.0,-0.3483082608807457,-0.5215272777167397,0.1732190168359939,82.00000000000003,19.9203187250996,10.61,12.83,0.0,0.0,4.0936167734120685,5.136428291827639,6.1792398102432085,7.222051328658778,8.264862847074347,1.1328054582104776,331259023639.86,331256198247.6,11.83786669,11.74885702,1.21324747,4.40471114,8.61151178,2.4904821,1
2020-01-07,1,13.46,13.58,13.32,13.48,72860756.0,1247047135.0,19405752680.0,0.0037545957222824,29.68749999999998,29.68749999999998,29.687499999999982,13.463333333333331,0.0733333333333323,-0.3483082608807457,-0.5215272777167397,0.1732190168359939,90.47619047619072,19.9203187250996,10.61,12.83,140.83870967741967,0.0,4.095790122830919,5.139155282178938,6.182520441526956,7.225885600874975,8.269250760222993,1.133406877986814,332811497095.7,332808658462.0,11.89334586,11.80391903,1.21893346,4.42535419,8.65187036,2.50215395,1
2020-01-08,1,13.36,13.4,13.07,13.09,84782412.0,1423608811.0,19405752680.0,0.0043689319037533,29.68749999999998,29.68749999999998,29.687499999999982,13.326666666666668,-0.1366666666666649,-0.3483082608807457,-0.5215272777167397,0.1732190168359939,4.878048780487699,19.9203187250996,10.61,12.83,120.3434343434346,140.83870967741967,4.094270915780946,5.137249070995881,6.180227226210816,7.223205381425751,8.266183536640686,1.1329864756546908,323302597178.68,323299839648.8,11.55353597,11.4666642,1.18410679,4.2989155,8.40467406,2.43066384,1
2020-01-09,1,13.21,13.3,12.99,13.19,103163665.0,1725326806.0,19405752680.0,0.0053161382967805,29.68749999999998,29.68749999999998,29.687499999999982,13.2875,-0.0391666666666665,-0.3483082608807457,-0.5215272777167397,0.1732190168359939,40.81632653061208,19.9203187250996,10.61,12.83,110.90148541223832,120.3434343434346,4.093605862743703,5.136414601766068,6.1792233407884325,7.222032079810797,8.26484081883316,1.132802438957489,325825366544.42,325822587497.2,11.64368962,11.55613997,1.19334652,4.33246046,8.47025675,2.4496306,1
2020-01-10,1,13.19,13.21,12.98,13.11,58554845.0,975154819.0,19405752680.0,0.003017396231188,29.68749999999998,29.68749999999998,29.687499999999982,13.213333333333336,-0.0741666666666667,-0.3483082608807457,-0.5215272777167397,0.1732190168359939,61.904761904761706,19.9203187250996,10.61,12.83,100.02801590749633,110.90148541223832,4.093155856326765,5.135849960320764,6.178544064314761,7.2212381683087585,8.263932272302757,1.1326779110024916,323884774724.62,323882012229.2,11.57434066,11.48731246,1.18623903,4.30665665,8.41980853,2.43504078,1
2020-01-13,1,13.16,13.38,13.05,13.35,87213336.0,1468271684.0,19405752680.0,0.0044942001188072,29.68749999999998,29.68749999999998,29.687499999999982,13.244166666666668,0.0308333333333319,-0.3483082608807457,-0.5215272777167397,0.1732190168359939,100.0,19.9203187250996,10.61,12.83,109.17744106666606,100.02801590749633,4.094489987124027,5.137523948764567,6.180557910405107,7.223591872045647,8.266625833686186,1.1330470981376726,329706550184.02,329703738033.2,11.78238753,11.69379501,1.20756149,4.38406809,8.5711532,2.47881024,1
2020-01-14,1,13.35,13.57,13.17,13.17,130449366.0,2217608853.0,19405752680.0,0.006722200790204,29.68749999999998,29.68749999999998,29.687499999999982,13.220833333333337,-0.0233333333333316,-0.3483082608807457,-0.5215272777167397,0.1732190168359939,51.351351351351326,19.9203187250996,10.61,12.83,101.175824325734,109.17744106666606,4.125736751272186,5.176730540950014,6.22772433062784,7.278718120305667,8.329711909983494,1.1416938540353787,325243188998.48,325240414916.8,11.53549172,11.53549172,1.19121427,4.32471932,8.45512229,2.35755222,1
2020-01-15,1,13.19,13.25,12.93,12.98,85943912.0,1424889228.0,19405752680.0,0.0044287852894557,22.20712560386476,27.194041867954905,12.233293075684465,13.1575,-0.0633333333333361,-0.3483082608807457,-0.5215272777167397,0.1732190168359939,11.904761904762076,19.9203187250996,10.61,12.83,87.59494411673667,101.175824325734,4.125289226243564,5.176169013004055,6.227048799764546,7.277928586525036,8.328808373285527,1.1415700127421728,320585768630.96,320583034273.6,11.37030568,11.37030568,1.17415631,4.26279016,8.33404655,2.32379252,1
