date,symbol,open,high,low,close,volume,amount,outstanding_share,turnover,last_trade_date,K,D,J,BBI,BBI_DIF,DIF,DEA,MACD,short_term_fund,long_term_fund,Short_LS,Short_Trend,yw_long,market_cap,float_market_cap,pe_ttm,pe_static,pb,peg,pcf,ps
2020-01-03,000001,13.08,13.6,13.0,13.5,264642668.0,4485691957.0,19405752680.0,0.0136373307628899,2026-07-24,31.178707224334623,31.178707224334623,31.178707224334616,13.163333333333334,0.0,-0.031564853547076055,-0.27992947645921834,0.24836462291214229,19.480519480519536,24.87922705314012,14.36,11.16,0,333393674641.64,333390831042.4,11.91415054,11.82456729,1.2210657,4.43309534,8.66700483,2.5065309
2020-01-10,000001,13.37,13.62,12.98,13.11,405570028.0,6849067764.0,19405752680.0,0.0208994742274533,2026-07-24,31.178707224334623,31.178707224334623,31.178707224334616,13.163333333333334,0.0,-0.031564853547076055,-0.27992947645921834,0.24836462291214229,19.480519480519536,24.87922705314012,14.36,11.16,0,323884774724.62,323882012229.2,11.57434066,11.48731246,1.18623903,4.30665665,8.41980853,2.43504078
2020-01-17,000001,13.16,13.57,12.73,12.88,466960750.0,7785567280.0,19405752680.0,0.024063006351784398,2026-07-24,31.178707224334623,31.178707224334623,31.178707224334616,13.163333333333334,0.0,-0.031564853547076055,-0.27992947645921834,0.24836462291214229,19.480519480519536,24.87922705314012,14.36,11.16,0,318062999265.22,318060286425.2,11.28082991,11.28082991,1.16491658,4.2292452,8.26846386,2.30550602
2020-01-24,000001,12.91,13.05,12.09,12.21,346273483.0,5542963818.0,19405752680.0,0.0178438573710606,2026-07-24,31.178707224334623,31.178707224334623,31.178707224334616,12.733333333333334,-0.4299999999999997,-0.031564853547076055,-0.27992947645921834,0.24836462291214229,11.764705882353043,24.87922705314012,14.36,11.16,0,301567968796.92,301565396647.2,10.69579602,10.69579602,1.10450297,4.00991278,7.83965396,2.18594042
2020-02-07,000001,10.99,11.7,10.99,11.49,756741579.0,10907179933.0,19405752680.0,0.038995734485470904,2026-07-24,31.178707224334623,31.178707224334623,31.178707224334616,12.193333333333335,-0.5399999999999991,-0.031564853547076055,-0.27992947645921834,0.24836462291214229,26.45502645502645,24.87922705314012,14.36,11.16,0,283714524054.76,283712104181.6,10.06258287,10.06258287,1.03911412,3.77251769,7.3755303,2.05652825
2020-02-14,000001,11.4,11.9,11.24,11.81,634314590.0,9327640830.0,19405752680.0,0.0326869356968428,2026-07-24,31.178707224334623,31.178707224334623,31.178707224334616,12.168333333333333,-0.02500000000000213,-0.031564853547076055,-0.27992947645921834,0.24836462291214229,67.21311475409834,24.87922705314012,14.36,11.16,0,291670950515.94,291668462780.4,10.34477569,10.34477569,1.0682548,3.87831333,-7.28721925,2.11420106
2020-02-21,000001,11.82,12.35,11.73,12.24,562193065.0,8594613987.0,19405752680.0,0.028970433369451598,2026-07-24,31.178707224334623,31.178707224334623,31.178707224334616,12.068333333333335,-0.09999999999999787,-0.031564853547076055,-0.27992947645921834,0.24836462291214229,100.0,24.87922705314012,14.36,11.16,0,302344205524.84,302341626754.4,10.72332703,10.72332703,1.10734596,4.02023431,-7.55388396,2.19156704
2020-02-28,000001,12.15,12.15,11.36,11.39,578888402.0,8671664038.0,19405752680.0,0.0298307626375456,2026-07-24,31.178707224334623,31.178707224334623,31.178707224334616,11.908333333333333,-0.16000000000000192,-0.031564853547076055,-0.27992947645921834,0.24836462291214229,15.000000000000036,24.87922705314012,14.36,11.16,0,281385813871.0,281383413860.0,9.97998985,9.97998985,1.03058514,3.74155311,-7.03025144,2.0396484
2020-03-06,000001,11.43,12.29,11.36,11.81,704789358.0,10562556388.0,19405752680.0,0.036318578806086,2026-07-24,31.178707224334623,31.178707224334623,31.178707224334616,11.819166666666666,-0.08916666666666728,-0.031564853547076055,-0.27992947645921834,0.24836462291214229,51.13636363636371,24.87922705314012,14.36,11.16,0,291670950515.94,291668462780.4,10.34477569,10.34477569,1.0682548,3.87831333,-7.28721925,2.11420106
2020-03-13,000001,11.56,11.69,10.92,11.41,580430306.0,8447173855.0,19405752680.0,0.0299102186640871,2026-07-24,26.83518753227247,29.730867326980572,21.043827942856268,11.614166666666666,-0.20500000000000007,-0.031564853547076055,-0.27992947645921834,0.24836462291214229,55.05617977528089,24.87922705314012,14.36,11.16,0,281773932234.96,281771528913.6,9.99375536,9.99375536,1.03200664,3.74671387,-7.03994834,2.04246171
2020-03-20,000001,11.35,11.36,9.36,9.84,743864570.0,9656518641.0,19405752680.0,0.038332167902285996,2026-07-24,21.690600080897408,27.050778244952852,10.970243752786516,11.218333333333334,-0.39583333333333215,-0.031564853547076055,-0.27992947645921834,0.24836462291214229,19.591836734693885,24.87922705314012,14.36,11.16,0,242962095838.96,242960023553.6,8.61720503,8.61720503,0.88985696,3.23063758,-6.07025848,1.76113089
2020-03-27,000001,9.43,10.51,9.37,10.33,511648295.0,6511183570.0,19405752680.0,0.026365805204109,2026-07-24,23.22282101147452,25.774792500460077,18.1188780335034,11.177222222222222,-0.04111111111111221,-0.031564853547076055,-0.27992947645921834,0.24836462291214229,47.31707317073172,24.87922705314012,14.36,11.16,0,255187824303.7,255185647742.0,9.05081838,9.05081838,0.93463411,3.39320161,-6.37571079,1.8497501
2020-04-03,000001,10.1,10.32,9.86,9.91,303965831.0,3902421857.0,19405752680.0,0.015663697049652002,2026-07-24,21.61343028412683,24.387671761682327,16.064947329015837,10.78138888888889,-0.39583333333333215,-0.031564853547076055,-0.27992947645921834,0.24836462291214229,56.701030927835085,24.87922705314012,14.36,11.16,0,244708628476.78,244706541294.8,8.6791498,8.6791498,0.86649822,3.25386101,-6.11389453,1.77379078
2020-04-10,000001,10.13,10.2,9.94,10.05,247425857.0,3173522825.0,19405752680.0,0.0127501293600943,2026-07-24,22.101261215058926,23.62553491280786,19.052713819561056,10.645277777777777,-0.13611111111111285,-0.031564853547076055,-0.27992947645921834,0.24836462291214229,70.83333333333341,24.87922705314012,14.36,11.16,0,248201693752.42,248199576777.2,8.80303932,8.80303932,0.87886695,3.30030788,-6.20116661,1.79911055
2020-04-17,000001,9.96,10.25,9.8,10.13,390901742.0,4991353468.0,19405752680.0,0.0201436011499243,2026-07-24,23.318343597107305,23.523137807574344,22.90875517617323,10.453333333333333,-0.19194444444444336,-0.031564853547076055,-0.27992947645921834,0.24836462291214229,100.0,24.87922705314012,14.36,11.16,0,250142285572.22,250140152045.2,8.87186684,8.87186684,0.88573846,3.32611169,-6.24965111,1.81317709
2020-04-24,000001,10.1,10.76,10.03,10.4,518669815.0,6891151840.0,19405752680.0,0.026727631932285098,2026-07-24,27.37718924676324,24.80782162063731,32.51592449901511,10.401388888888889,-0.05194444444444457,-0.031564853547076055,-0.27992947645921834,0.24836462291214229,100.0,24.87922705314012,14.36,11.16,0,256934356941.52,256932165483.2,8.76998863,9.11276315,0.90978877,3.41642505,-3.41577183,1.79163197
2020-05-01,000001,10.45,11.25,10.41,10.95,363665689.0,5000134258.0,19405752680.0,0.0187400970731116,2026-07-24,36.34019669920735,28.651946646827323,51.71669680396739,10.548055555555555,0.1466666666666665,-0.031564853547076055,-0.27992947645921834,0.24836462291214229,100.0,24.87922705314012,14.36,11.16,0,270324440498.14,270322134832.4,9.22703487,9.58767301,0.95720224,3.59447137,-3.59378411,1.88500251
2020-05-08,000001,10.81,11.02,10.69,10.96,260652895.0,3585001602.0,19405752680.0,0.0134317333266146,2026-07-24,47.11664043180349,34.80684457515272,71.73623214510503,10.651666666666666,0.10361111111111043,-0.031564853547076055,-0.27992947645921834,0.24836462291214229,99.99999999999999,24.87922705314012,14.36,11.16,0,270712558862.1,270710249886.0,9.24028258,9.60143851,0.95857654,3.59963213,-3.59894388,1.88770891
2020-05-15,000001,10.94,11.1,10.32,10.4,351319878.0,4766082256.0,19405752680.0,0.0181039037131537,2026-07-24,48.744426954535676,39.45270536828037,67.3278701270463,10.627777777777778,-0.023888888888887294,-0.031564853547076055,-0.27992947645921834,0.24836462291214229,12.5,24.87922705314012,14.36,11.16,0,256740297759.54,256738107956.4,8.76336477,9.1058804,0.90910162,3.41384466,-3.41319194,1.79027877
2020-05-22,000001,10.37,10.7,10.15,10.15,333697761.0,4437394775.0,19405752680.0,0.017195816441787103,2026-07-24,46.32607187039969,41.74382753565347,55.490560539892115,10.51,-0.11777777777777843,-0.031564853547076055,-0.27992947645921834,0.24836462291214229,0.0,24.87922705314012,14.36,11.07,0,250724463118.16,250722324625.6,8.55802516,8.8925151,0.88779992,3.33385284,-3.33321541,1.74832968
2020-05-29,000001,10.19,10.53,10.03,10.39,270791465.0,3524256189.0,19405752680.0,0.013954185105073399,2026-07-24,44.447266304404394,42.64497379190378,48.05185132940562,10.421666666666667,-0.08833333333333293,-0.031564853547076055,-0.27992947645921834,0.24836462291214229,97.29729729729736,24.87922705314012,14.36,10.98,0,252276936574.0,252274784840.0,8.61101603,8.94757711,0.89329713,3.35449589,-3.35385451,1.75915525
2020-06-05,000001,10.47,11.09,10.45,10.86,368931574.0,4982716890.0,19405752680.0,0.0190114539788104,2026-07-24,53.99932696155694,46.429758181788166,69.13846452109449,10.483055555555556,0.061388888888888715,-0.031564853547076055,-0.27992947645921834,0.24836462291214229,99.99999999999999,40.0,14.36,10.92,0,263726428310.82,263724178921.2,9.00182368,9.35365945,0.93383908,3.5067384,-3.50606791,1.83899384
2020-06-12,000001,10.93,11.07,10.28,10.38,402033856.0,5336826084.0,19405752680.0,0.0207172513547665,2026-07-24,49.332884641037964,47.3974670015381,53.2037199200377,10.491944444444444,0.008888888888888502,-0.031564853547076055,-0.27992947645921834,0.24836462291214229,42.16867469879535,28.977272727272755,14.36,10.86,0,252082877392.02,252080727313.2,8.60439217,8.94069436,0.89260998,3.35191551,-3.35127463,1.75780206
2020-06-19,000001,10.27,10.38,10.06,10.23,475400999.0,6070619284.0,19405752680.0,0.0244979417618752,2026-07-24,38.35307063500894,44.382668212695044,26.293875479636725,10.602604166666667,0.11065972222222342,-0.031564853547076055,-0.27992947645921834,0.24836462291214229,21.250000000000018,30.20833333333336,14.36,10.8,0,248395752934.4,248393634304.0,8.47853886,8.80992208,0.8795541,3.30288826,-3.30225675,1.73209133
2020-06-26,000001,10.18,10.29,10.01,10.23,383310700.0,4865399021.0,19405752680.0,0.019752426320214102,2026-07-24,31.4826922512963,40.08267622556213,14.282724302764635,10.515625000000002,-0.08697916666666572,-0.031564853547076055,-0.27992947645921834,0.24836462291214229,59.459459459459474,30.20833333333336,14.36,10.74,0,248395752934.4,248393634304.0,8.47853886,8.80992208,0.8795541,3.30288826,-3.30225675,1.73209133
2020-07-03,000001,10.32,11.44,10.16,11.39,1003264511.0,13447089829.0,19405752680.0,0.0516993351169514,2026-07-24,53.1562936686964,44.44054870660688,70.58778359287543,10.661458333333334,0.14583333333333215,-0.031564853547076055,-0.27992947645921834,0.24836462291214229,100.0,70.48611111111113,14.36,10.72,0,276534334321.5,276531975690.0,9.43899834,9.80792106,0.98252402,3.67704357,-3.67634053,1.9283048
