date,symbol,open,high,low,close,volume,last_trade_date,K,D,J,BBI,BBI_DIF,DIF,DEA,MACD,short_term_fund,long_term_fund,Short_LS,Short_Trend,market_cap,float_market_cap,pe_ttm,pb
2020-01-03,00001,53.1826,53.718,52.7186,52.897,5131396.0,2026-07-24,8.426983977083179,8.426983977083179,8.426983977083179,53.17066666666667,0.0,-2.6536717028766006,-3.4435406848067944,0.7898689819301938,99.99999999999999,22.56799247949692,42.57,44.59,,,,
2020-01-10,00001,52.4687,53.2896,50.8625,52.8613,20380221.0,2026-07-24,8.426983977083179,8.426983977083179,8.426983977083179,53.17066666666667,0.0,-2.6536717028766006,-3.4435406848067944,0.7898689819301938,99.99999999999999,22.56799247949692,42.57,44.59,,,,
2020-01-17,00001,53.1826,54.0392,52.897,53.7537,32405714.0,2026-07-24,8.426983977083179,8.426983977083179,8.426983977083179,53.17066666666667,0.0,-2.6536717028766006,-3.4435406848067944,0.7898689819301938,99.99999999999999,22.56799247949692,42.57,44.59,,,,
2020-01-24,00001,54.2534,54.2534,52.5401,53.0755,22149414.0,2026-07-24,8.426983977083179,8.426983977083179,8.426983977083179,53.23016666666667,0.059499999999999886,-2.6536717028766006,-3.4435406848067944,0.7898689819301938,76.5426120641947,22.56799247949692,42.57,44.59,,,,
2020-01-31,00001,51.5407,51.7548,49.292,49.4705,20306863.0,2026-07-24,8.426983977083179,8.426983977083179,8.426983977083179,52.09990000000001,-1.1302666666666568,-2.6536717028766006,-3.4435406848067944,0.7898689819301938,4.000717215411158,22.56799247949692,42.57,44.59,,,,
2020-02-07,00001,49.0065,50.3985,48.6852,50.1844,27790994.0,2026-07-24,8.426983977083179,8.426983977083179,8.426983977083179,51.47526666666667,-0.6246333333333425,-2.6536717028766006,-3.4435406848067944,0.7898689819301938,34.148008108785184,22.56799247949692,42.57,44.59,,,,
2020-02-14,00001,49.6133,51.041,49.6133,50.577,17785772.0,2026-07-24,8.426983977083179,8.426983977083179,8.426983977083179,50.865516666666664,-0.6097500000000053,-2.6536717028766006,-3.4435406848067944,0.7898689819301938,100.0,22.56799247949692,42.57,44.59,,,,
2020-02-21,00001,50.9696,51.2908,49.3991,49.5419,14370457.0,2026-07-24,8.426983977083179,8.426983977083179,8.426983977083179,50.60080000000001,-0.26471666666665783,-2.6536717028766006,-3.4435406848067944,0.7898689819301938,45.28491383867206,22.56799247949692,42.57,44.59,,,,
2020-02-28,00001,49.3277,49.4705,47.9,48.4354,24346559.0,2026-07-24,8.426983977083179,8.426983977083179,8.426983977083179,49.86610833333334,-0.7346916666666701,-2.6536717028766006,-3.4435406848067944,0.7898689819301938,20.000000000000107,22.56799247949692,42.57,44.59,,,,
2020-03-06,00001,47.8286,48.4711,47.2932,47.5431,29320947.0,2026-07-24,6.814794007575887,7.889587320580748,4.665207381566162,48.89942500000001,-0.9666833333333287,-2.6536717028766006,-3.4435406848067944,0.7898689819301938,11.113087561702487,22.56799247949692,42.57,44.59,,,,
2020-03-13,00001,46.3295,46.4009,38.2272,39.5835,79420834.0,2026-07-24,7.364201608375143,7.714458749845547,6.663687325434333,46.41577500000001,-2.4836499999999972,-2.6536717028766006,-3.4435406848067944,0.7898689819301938,13.286377617993356,22.56799247949692,42.57,44.59,,,,
2020-03-20,00001,36.621,38.834,32.1594,35.4075,97466252.0,2026-07-24,9.809893193791389,8.412936897827494,12.603805785719178,44.879,-1.5367750000000129,-2.6536717028766006,-3.4435406848067944,0.7898689819301938,21.113906277423503,22.56799247949692,42.57,44.59,,,,
2020-03-27,00001,33.2302,38.1558,32.6948,37.7632,77696049.0,2026-07-24,16.07243812628201,10.966103973978997,26.285106430888032,42.66008333333334,-2.218916666666658,-2.6536717028766006,-3.4435406848067944,0.7898689819301938,75.4812031087943,22.56799247949692,42.57,44.59,,,,
2020-04-03,00001,37.7632,38.0487,36.4426,37.4776,52092447.0,2026-07-24,19.981051840400312,13.971086596119434,32.00098232896207,41.32853055555555,-1.3315527777777874,-2.6536717028766006,-3.4435406848067944,0.7898689819301938,94.90345836753639,22.56799247949692,42.57,44.59,,,,
2020-04-10,00001,38.013,41.2611,37.8346,41.2611,41925039.0,2026-07-24,29.178923834792872,19.040365675677247,49.45604015302413,41.23334166666667,-0.09518888888888455,-2.6536717028766006,-3.4435406848067944,0.7898689819301938,100.0,22.56799247949692,42.57,44.59,,,,
2020-04-17,00001,40.9042,41.975,39.9762,41.4753,35535391.0,2026-07-24,35.68404694038619,24.588259430580226,57.87562195999811,40.98646944444445,-0.2468722222222155,-2.6536717028766006,-3.4435406848067944,0.7898689819301938,100.0,22.56799247949692,42.57,44.59,,,,
2020-04-24,00001,41.7251,41.7251,39.1909,39.4408,40202219.0,2026-07-24,37.81004114853936,28.99552000323327,55.43908343915154,40.91807222222223,-0.06839722222222377,-2.6536717028766006,-3.4435406848067944,0.7898689819301938,44.11788941687047,22.56799247949692,42.57,44.59,,,,
2020-05-01,00001,39.2623,41.3682,39.2623,40.9756,18899866.0,2026-07-24,43.22280114693255,33.73794705113303,62.19250933853159,40.939888888888895,0.02181666666666615,-2.6536717028766006,-3.4435406848067944,0.7898689819301938,78.12554718963415,22.56799247949692,42.57,44.59,,,,
2020-05-08,00001,39.3337,40.6543,39.298,40.5472,27943179.0,2026-07-24,48.44749605186905,38.64113005137837,68.06022805285042,40.71282777777778,-0.22706111111111227,-2.6536717028766006,-3.4435406848067944,0.7898689819301938,75.99596570852226,22.56799247949692,42.57,44.59,,,,
