date,symbol,open,high,low,close,volume,K,D,J,BBI,BBI_DIF,DIF,DEA,MACD,short_term_fund,long_term_fund,Short_LS,Short_Trend,Brick_High,Brick_Low,market_cap,float_market_cap,pe_ttm,pb
2020-01-02,00001,53.1826,53.6823,53.0398,53.1826,2294978.0,88.50674653012604,88.50674653012604,88.50674653012601,52.861333333333334,0.0,-0.8067029751877968,-1.0177455847541832,0.21104260956638643,26.92597780411556,3.5217519976324287,40.02,52.98,0.0,0.0,,,,
2020-01-03,00001,53.5395,53.718,52.7186,52.897,2836418.0,88.50674653012604,88.50674653012604,88.50674653012601,52.861333333333334,0.0,-0.8067029751877968,-1.0177455847541832,0.21104260956638643,26.92597780411556,3.5217519976324287,40.02,52.98,0.0,0.0,,,,
2020-01-06,00001,52.4687,53.2896,52.2545,52.5044,3232362.0,88.50674653012604,88.50674653012604,88.50674653012601,52.861333333333334,0.0,-0.8067029751877968,-1.0177455847541832,0.21104260956638643,26.92597780411556,3.5217519976324287,40.02,52.98,0.0,0.0,,,,
2020-01-07,00001,52.8613,53.0398,51.969,52.1475,4152215.0,88.50674653012604,88.50674653012604,88.50674653012601,52.5163,-0.3450333333333333,-0.8067029751877968,-1.0177455847541832,0.21104260956638643,19.23491379310347,3.5217519976324287,40.02,52.98,6.41166380789015,0.0,,,,
2020-01-08,00001,51.1838,51.7192,50.8625,51.505,4943850.0,88.50674653012604,88.50674653012604,88.50674653012601,52.0523,-0.46399999999999864,-0.8067029751877968,-1.0177455847541832,0.21104260956638643,39.13149400085301,3.5217519976324287,40.02,52.98,9.826832098935228,6.41166380789015,,,,
2020-01-09,00001,52.2189,52.5044,52.0047,52.4687,3889068.0,88.50674653012604,88.50674653012604,88.50674653012601,52.24563333333334,0.19333333333333513,-0.8067029751877968,-1.0177455847541832,0.21104260956638643,100.0,3.5217519976324287,40.02,52.98,24.833850197717197,9.826832098935228,,,,
2020-01-10,00001,52.7543,53.254,52.5758,52.8613,4162726.0,88.50674653012604,88.50674653012604,88.50674653012601,52.337825,0.09219166666666467,-0.8067029751877968,-1.0177455847541832,0.21104260956638643,100.0,3.5217519976324287,40.02,52.98,42.319642657880465,24.833850197717197,,,,
2020-01-13,00001,53.1826,53.7537,52.897,53.4681,6417244.0,88.50674653012604,88.50674653012604,88.50674653012601,52.712599999999995,0.37477499999999253,-0.8067029751877968,-1.0177455847541832,0.21104260956638643,100.0,3.5217519976324287,40.02,52.98,58.962395005635614,42.319642657880465,,,,
2020-01-14,00001,53.9678,53.9678,53.361,53.6109,6117313.0,88.50674653012604,88.50674653012604,88.50674653012601,52.995175,0.28257500000000846,-0.8067029751877968,-1.0177455847541832,0.21104260956638643,100.0,3.5217519976324287,40.02,52.98,70.85103154303287,58.962395005635614,,,,
2020-01-15,00001,53.718,53.718,52.9327,53.5395,5126656.0,87.74031494541599,88.25126933522269,86.71840616580258,53.22420833333334,0.22903333333333364,-0.8067029751877968,-1.0177455847541832,0.21104260956638643,89.998599243591,3.5217519976324287,40.02,52.98,77.5994804772244,70.85103154303287,,,,
